name,oru_sonic_codes,diagnostic,diagnostic_groups,oru_sonic_units,units,min_age,max_age,gender,standard_lower,standard_higher,everlab_lower,everlab_higher
Total Serum IgG,S IgG:,,,g/L,g/L,0,200,Any,7,16,6.36,17.78
Alpha 1 Globulin,Alpha 1 Globulin,,,g/L,g/L,0,200,Any,2.2,4.1,2,4.56
Alpha 2 Globulin,Alpha 2 Globulin,,,g/L,g/L,0,200,Any,4.9,8.7,4.45,9.67
Beta 1 Globulin,Beta 1 Globulin,,,g/L,g/L,0,200,Any,3.4,5.8,3.09,6.44
Beta 2 Globulin,Beta 2 Globulin,,,g/L,g/L,0,200,Any,2.1,4.9,1.91,5.44
C282Y Mutation,C282Y Mutation,,,,,0,200,Any,,,,
Gamma Globulin,Gamma Globulin,,,g/L,g/L,0,200,Any,7,16,6.36,17.78
H63D Mutation,H63D Mutation,,,,,0,200,Any,,,,
Hep B core Total Antibody,Hep B core Total Antibody,,,,,0,200,Any,,,,
Holo-transcobalamin,Holo-transcobalamin:,,,pmol/L,pmol/L,0,200,Any,37,,37,
Total Serum IgA,S IgA:,,,g/L,g/L,0,200,Any,0.7,4,0.64,4.44
Total Serum IgM,S IgM:,,,g/L,g/L,0,200,Any,0.4,3,0.36,3.33
Abdominal Aorta Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Pancreas Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Liver Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Spleen Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Gall Bladder Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Kidneys Imaging,,Abdominal Organ Ultrasound Screening,Upper Abdominal Ultrasound,,normal/abnormal ,0,200,Any,,,,
Active Straight-Leg Raise Right (FMS),,Active Straight-Leg Raise Test,,,/3,,,Any,,,,
Active Straight-Leg Raise Left (FMS),,Active Straight-Leg Raise Test,,,/3,,,Any,,,,
Squat 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
Overhead Press 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
Bench 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
Deadlift 5RM (85%),,Advanced Muscle Strength and Stability Assessment,Advanced Physical Assessment,,kg,,,Any,,,,
Aldosterone,,Aldosterone,Aldosterone,,pg/mL,0,200,Any,30,160,27.27,177.78
Alpha Fetoprotein,,Alpha Fetoprotein,AFP,,ng/mL,0,200,Any,0,10,,11.11
Anti-CCP Antibodies,,Anti-CCP Antibodies,Anti-CCP Ab,,U/mL,0,200,Any,0,7,,7.78
Anti-deamidated Gliadin Antibody,,Anti-deamidated Gliadin Antibody,Anti-deamidated Gliadin Antibody,,U/mL,0,200,Any,0,7,,7.78
Antinuclear Antibody,ANA,Antinuclear Antibody,ANA,,titers,0,200,Any,0,140,,155.56
Apolipoprotein B,Apolipoprotein B;Apoliprotein B,Apolipoprotein B,Apolipoprotein B,g/L,g/L,0,200,Any,0.7,1.3,0.64,1
Apolipoprotein E Genotype,,Apolipoprotein E Genotype,Apolipoprotein E Genotype,,normal/abnormal ,0,200,Any,,,,
Astrand Treadmill Test,,Astrand Treadmill Test,Basic Aerobic Capacity,,minutes,,,Any,,,,
Australian Cardiovascular Disease 5 Year Risk Forecast,,Australian Cardiovascular Disease 5 Year Risk Forecast,Australian Cardiovascular Disease 5 Year Risk Forecast,,%,0,200,Any,,,,3.33
Beta-HCG (Female),,Beta-HCG (Female),β-HCG (Female),,mIU/mL,0,200,Any,0,5,,5.56
Blood Pressure Profile (Diastolic),,Blood Pressure Profile,Blood Pressure Profile,,mmHg,0,200,Any,50,90,45.45,83.33
Blood Pressure Profile (Systolic),,Blood Pressure Profile,Blood Pressure Profile,,mmHg,0,200,Any,80,140,72.73,133.33
Right Femoral Neck Density,,Bone Mineral Density Measurement,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,g/cm²,0,200,Any,,,,
Left Femoral Neck Density,,Bone Mineral Density Measurement,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,g/cm²,0,200,Any,,,,
Brain MRI,,Brain MRI,non-con screening MRI Brain,,,0,200,Any,,,,
FEV1,,Breathing and Lung Function,Breathing and Lung Function,,Liters,0,200,Any,,,,
C-reactive Protein,CRP;S C-Reactive Protein:,C-reactive Protein,CRP,mg/L,mg/L,0,200,Any,0,5,,3.33
Chlamydia Screening Test,,Chlamydia Screening Test,FPU chlamydia NAAT,,normal/abnormal ,0,200,Any,,,,
Activated Partial Thromboplastin Clotting Time,APTT,Clotting Function Profile,Clotting Profile,seconds,seconds,0,200,Any,20,32,18.18,35.56
Thrombin Time,Thrombin Time,Clotting Function Profile,Clotting Profile,seconds,seconds,0,200,Any,14,21,12.73,23.33
Fibrinogen,Fibrinogen,Clotting Function Profile,Clotting Profile,g/L,g/L,0,200,Any,2,4.5,1.82,5
Prothrombin Time,Prothrombin Time,Clotting Function Profile,Clotting Profile,seconds,seconds,0,200,Any,10,14,9.09,15.56
Prothrombin Ratio (INR),Prothrombin ratio (INR),Clotting Function Profile,Clotting Profile,ratio,ratio,0,200,Any,0.8,1.2,0.73,1.33
Colonoscopy,,Colonoscopy,Colonoscopy,,normal/abnormal ,0,200,Any,,,,
Continuous Glucose Monitor,,Continuous Glucose Monitor,Continuous Glucose Monitor,,normal/abnormal ,0,200,Any,,,,
Copper,,Copper,Copper,,µmol/L,0,200,Any,11,22,10,24.44
Height,,Core Biometric Measurements,Core Biometric Measurements,,cm,0,200,Any,,,,
Weight,,Core Biometric Measurements,Core Biometric Measurements,,kg,0,200,Any,,,,
Waist Circumference,,Core Biometric Measurements,Core Biometric Measurements,,cm,0,200,Any,,,,
CT chest (everlab™ ultra-low dose protocol),,CT chest (everlab™ ultra-low dose protocol),Non-con CT chest (everlab™ ultra-low dose protocol),,normal/abnormal ,0,200,Any,,,,
Non Cardiac Findings,,CT coronary angiogram (CTCA),CT coronary angiogram (CTCA),,normal/abnormal ,0,200,Any,,,,
Noncoronary Cardiac Findings,,CT coronary angiogram (CTCA),CT coronary angiogram (CTCA),,normal/abnormal ,0,200,Any,,,,
Coronary Artery Findings,,CT coronary angiogram (CTCA),CT coronary angiogram (CTCA),,normal/abnormal ,0,200,Any,,,,
CT Coronary Calcium Score,,CT Coronary Calcium Score,CT Coronary Calcium Score,,Agatston units (AU),0,200,Any,0,,,
Cystatin C,,Cystatin C - Alternative Kidney Function Screen,Cystatin C,,,0,200,Any,,,,
Bodyweight Deep Squat (30s),,Deep Squat Assessment,Baseline Physical Assessment,,reps,0,200,Any,,,,
Fat Mass Index (Male) 18-34,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,18,34,Male,,,,5.33
Android/Gynoid Ratio,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,ratio,0,200,Any,,,,
Total Body % Fat,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,%,0,200,Any,,,,
Total Fat Mass,,Dexa Body Fat Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,g,0,200,Any,,,,
Estimated VAT volume,,Dexa Visceral Adipose Tissue Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,cm³,0,200,Any,,,,166.67
Estimated VAT mass,,Dexa Visceral Adipose Tissue Analysis,DEXA Body Composition Scan + Full Bone Mineral Density Scan,,g,0,200,Any,,,,166.67
DHEA-S,,DHEA-S,DHEA-S,,µmol/L,0,200,Any,0.9,9.2,0.82,10.22
EBV IgG serology,,EBV serology,EBV serology,,normal/abnormal ,0,200,Any,0,0.9,,1
EBV IgM serology,,EBV serology,EBV serology,,normal/abnormal ,0,200,Any,0,0.9,,1
Rhythm,,Electrocardiogram (ECG),ECG,,normal/abnormal ,0,200,Any,,,,
Resting Heart Rate,HR,Electrocardiogram (ECG),ECG,/min;beats/min,bpm,0,200,Any,,,36.36,83.33
Trace Morphology,,Electrocardiogram (ECG),ECG,,normal/abnormal ,0,200,Any,,,,
Trace Morphology (P wave deg),P,Electrocardiogram (ECG),ECG,Deg;deg,,0,200,Any,,,,
Trace Morphology (P wave length),P,Electrocardiogram (ECG),ECG,ms,,0,200,Any,,,,
Trace Morphology (PQ interval length),PQ,Electrocardiogram (ECG),ECG,ms,,0,200,Any,,,,
Trace Morphology (QRS complex deg),QRS,Electrocardiogram (ECG),ECG,Deg;deg,,0,200,Any,,,,
Trace Morphology (QRS complex length),QRS,Electrocardiogram (ECG),ECG,ms,,0,200,Any,,,,
Trace Morphology (T wave deg),T,Electrocardiogram (ECG),ECG,Deg;deg,,0,200,Any,,,,
Trace Morphology (QTc length),QTc,Electrocardiogram (ECG),ECG,ms,,0,200,Any,,,,
Trace Morphology (RR interval length),RR,Electrocardiogram (ECG),ECG,ms,,0,200,Any,,,,
Trace Morphology (QT interval length),QT,Electrocardiogram (ECG),ECG,ms,,0,200,Any,,,,
Serum Potassium,Potassium;S Potassium:,Electrolyte Panel,EUC,mmol/L,mmol/L,0,200,Any,3.5,5.5,3.18,6.11
Serum Sodium,S Sodium:;Sodium,Electrolyte Panel,EUC,mmol/L,mmol/L,0,200,Any,135,145,122.73,161.11
Serum Bicarbonate,Bicarbonate;S Bicarbonate:,Electrolyte Panel,EUC,mmol/L,mmol/L,0,200,Any,20,32,18.18,35.56
Serum Chloride,Chloride;S Chloride:,Electrolyte Panel,EUC,mmol/L,mmol/L,0,200,Any,95,110,86.36,122.22
Erythrocyte Sedimentation Rate,E.S.R.;ESR,Erythrocyte Sedimentation Rate,ESR,mm/h;mm/hr,mm/hr,0,200,Any,1,20,0.91,20
Estradiol,S Oestradiol,Estradiol,Estradiol,pmol/L,pmol/L,0,200,Any,160,,145.45,
Exercise Stress Echocardiogram (ESE),,Exercise Stress Echocardiogram (ESE),Exercise Stress Echocardiogram (ESE),,normal/abnormal ,0,200,Any,,,,
Carcinoembryonic Antigen (CEA),,Extended Tumour Markers Screening,"CA 19-9,CEA",,ng/mL,0,200,Any,0,5,,5.56
Cancer Antigen 19-9,,Extended Tumour Markers Screening,"CA 19-9,CEA",,U/mL,0,200,Any,0,37,,41.11
Cancer Antigen 125 (Female),,Extended Tumour Markers Screening (Female),"CA 15-3,CA-125",,U/mL,0,200,Any,0,35,,38.89
Cancer Antigen 15-3 (Female),,Extended Tumour Markers Screening (Female),"CA 15-3,CA-125",,U/mL,0,200,Any,0,30,,33.33
Faecal Occult Blood,,Faecal Occult Blood,FOBT,,normal/abnormal ,0,200,Any,,,,
Fasting Glucose,Fasting S Glucose;Glucose Fasting;Fasting P Glucose,Fasting Glucose,Fasting BSL,mmol/L,mmol/L,0,200,Any,3.6,6,3.27,5.89
Fasting Insulin,"S Insulin (Fasting):;Insulin, Fasting",Fasting Insulin,Insulin - Fasting,mU/L,mU/L,0,200,Any,,17,,6
Fatty Acid Profile - Omega 3 Index (EPA and DHA) and Omega 6 to 3 Ratio,,Fatty Acid Profile - Omega 3 Index (EPA and DHA) and Omega 6 to 3 Ratio,Omega 3 Index (EPA and DHA) and Omega 6 to 3 Ratio,,,0,200,Any,,,,
Follicle-Stimulating Hormone,S FSH:,Follicle-Stimulating Hormone,FSH,IU/L,IU/L,0,200,Any,1.5,9.7,1.36,10.78
Food Diary Analysis,,Food Diary Analysis,Cronometer,,,0,200,Any,,,,
Free Testosterone,Calculated Free Testosterone;Free Test (VC),Free Testosterone,Free Testosterone,pmol/L,pmol/L,0,200,Any,260,740,236.36,822.22
LDL Cholesterol,LDL Cholesterol;S LDL-Cholesterol:,Full Cholesterol Profiling,Lipids/HDL/LDL,mmol/L,mmol/L,0,200,Any,,3.5,,2.89
HDL Cholesterol,HDL Cholesterol;S HDL-Cholesterol:,Full Cholesterol Profiling,Lipids/HDL/LDL,mmol/L,mmol/L,0,200,Any,1,,1.09,2.9
Serum Triglycerides,S Triglycerides:;Triglycerides,Full Cholesterol Profiling,Lipids/HDL/LDL,mmol/L,mmol/L,0,200,Any,,1.5,,1.24
Non HDL Cholesterol,Non HDL Cholesterol;Non-HDL Cholesterol,Full Cholesterol Profiling,Lipids/HDL/LDL,mmol/L,mmol/L,0,200,Any,,3.9,,2.78
Total Cholesterol,Cholesterol;S Cholesterol:,Full Cholesterol Profiling,Lipids/HDL/LDL,mmol/L,mmol/L,0,200,Any,3.5,5.5,3.18,6.11
Triglycerides to HDL-C Ratio,,Full Cholesterol Profiling,Lipids/HDL/LDL,,ratio,0,200,Any,,,,
Total Cholesterol to HDL-C ratio,Chol/HDLC,Full Cholesterol Profiling,Lipids/HDL/LDL,ratio,ratio,0,200,Any,,4.5,,5
Gastroscopy,,Gastroscopy,Gastroscopy,,normal/abnormal ,0,200,Any,,,,
Gonorrhoea Screening Test,,Gonorrhoea Screening Test,FPU gonorrhoea NAAT,,normal/abnormal ,0,200,Any,,,,
Dynamometer Grip Strength (Left),,Grip Strength Assessment,Baseline Physical Assessment,,kg,,,Any,,,,
Dead Hang,,,,,seconds,,,Any,,,,
Dynamometer Grip Strength (Right),,Grip Strength Assessment,Baseline Physical Assessment,,kg,,,Any,,,,
Growth Hormone,,,,,ng/mL,0,200,Any,0.1,8,0.09,8.89
Red Cell Count,Red cell count,Haemoglobin and Red Cell Analysis,FBE,x10*12/L,x10*12/L,0,200,Any,4.5,6.5,3.43,5.7
Mean Corpuscular Haemoglobin (MCH),M.C.H.;MCH,Haemoglobin and Red Cell Analysis,FBE,pg,pg,0,200,Any,27,32,24.55,35.56
Haemoglobin,Haemoglobin,Haemoglobin and Red Cell Analysis,FBE,g/L,g/L,0,200,Any,130,180,118.18,200
Haematocrit,Haematocrit,Haemoglobin and Red Cell Analysis,FBE,,,0,200,Any,0.39,0.54,0.35,0.6
Red Cell Distribution Width (RDW),RDW,Haemoglobin and Red Cell Analysis,FBE,,,0,200,Any,10,15,9.09,16.67
Mean Corpuscular Haemoglobin Concentration (MCHC),M.C.H.C.;MCHC,Haemoglobin and Red Cell Analysis,FBE,g/L,g/L,0,200,Any,310,360,281.82,400
Mean Corpuscular Volume (MCV),M.C.V.;MCV,Haemoglobin and Red Cell Analysis,FBE,fL,fL,0,200,Any,80,100,72.73,111.11
HbA1c (IFCC),HBA1c (IFCC),HbA1c Test,HBA1c,mmol/mol,mmol/mol,0,200,Any,20,38,18.18,40
HbA1c (NGSP),HbA1c (NGSP);B Glycosylated Haemoglobin (Hb A1c):,HbA1c Test,HBA1c,%,%,0,200,Any,4,5.6,3.64,6
Estimated Average Glucose,Estimated Average Glucose,HbA1c Test,HBA1c,mmol/L,mmol/L,0,200,Any,,,,
Helicobacter Breath Test,,Helicobacter Breath Test,Helicobacter Breath Test,,normal/abnormal ,0,200,Any,,,,
Hepatitis A IgG Antibody,,Hepatitis A IgG Antibody,Hep A IgG Ab,,normal/abnormal ,0,200,Any,0.8,1.1,0.73,1.22
Hepatitis B Surface Antibodies,,Hepatitis B Surface Antibodies,HBsAb,,IU/mL,0,200,Any,10,100,9.09,111.11
Hepatitis B Surface Antigen,Hep B surface Antigen;Hepatitis B Surface Antigen:,Hepatitis B Surface Antigen,HBsAg,,IU/mL,0,200,Any,0,0.05,,0.06
Hepatitis C Antibodies,Hepatitis C Antibody;Hepatitis C Antibodies (by Axsym MEIA):,Hepatitis C Antibodies,HCV AB,,normal/abnormal ,0,200,Any,,,,
High Sensitivity C-Reactive Protein,S Sensitive CRP:,High Sensitivity C-Reactive Protein,HS-CRP,mg/L,mg/L,0,200,Any,,5,,2.22
HOMA-IR,,HOMA-IR,HOMA-IR,,,0,200,Any,,,,1.67
Homocysteine,Homocysteine;Plasma Homocysteine,Homocysteine,Homocysteine,umol/L,umol/L,0,200,Any,4,15,3.64,16.67
Hurdle Step Right (FMS),,Hurdle Step Test,,,/3,,,Any,,,,
Hurdle Step Left (FMS),,Hurdle Step Test,,,/3,,,Any,,,,
Iga Anti-tissue Transglutaminase,,Iga Anti-tissue Transglutaminase,Iga Anti-tissue Transglutaminase,,U/mL,0,200,Any,0,7,,7.78
Immunoglobulin E (IgE),S IgE:,Immunoglobulin E (IgE),IgE,kU/L,kU/L,0,200,Any,0,100,,111.11
In-Home Sleep Test,,In-Home Sleep Test,In-Home Sleep Test,,normal/abnormal ,0,200,Any,,,,
Inline Lunge Right (FMS),,,,,/3,,,Any,,,,
Walking Lunge (30s),,Inline Lunge Test,Baseline Physical Assessment,,reps,,,Any,,,,
Serum Transferrin,S Transferrin:;Transferrin;,Iron Levels Analysis,Iron Studies,g/L,g/L,0,200,Any,2,3.2,1.82,3.56
Serum Iron,Iron;S Iron:,Iron Levels Analysis,Iron Studies,umol/L,umol/L,0,200,Any,5,30,4.55,33.33
